iter	Passed	Remaining
399	29819	342928
400	29896	342876
401	29967	342765
402	30047	342754
403	30126	342728
404	30205	342700
405	30272	342546
406	30335	342339
407	30396	342104
408	30476	342100
409	30544	341950
410	30624	341930
411	30706	341945
412	30789	341960
413	30862	341875
414	30937	341802
415	31016	341776
416	31096	341759
417	31172	341708
418	31254	341714
419	31325	341596
420	31405	341586
421	31474	341441
422	31553	341423
423	31635	341424
424	31723	341494
425	31802	341465
426	31873	341349
427	31945	341250
428	32009	341062
429	32075	340890
430	32141	340733
431	32206	340551
432	32289	340567
433	32356	340411
434	32428	340313
435	32502	340228
436	32565	340041
437	32634	339901
438	32709	339839
439	32780	339729
440	32859	339697
441	32938	339669
442	33004	339511
443	33095	339601
444	33166	339493
445	33241	339419
446	33319	339380
447	33385	339222
448	33465	339197
449	33537	339102
450	33606	338975
451	33685	338945
452	33758	338851
453	33827	338725
454	33895	338580
455	33973	338539
456	34051	338499
457	34116	338331
458	34188	338236
459	34258	338117
460	34333	338051
461	34406	337959
462	34471	337786
463	34533	337591
464	34617	337614
465	34677	337400
466	34787	337665
467	34856	337537
468	34942	337577
469	35018	337521
470	35108	337592
471	35178	337475
472	35247	337349
473	35316	337223
474	35405	337285
475	35487	337284
476	35560	337195
477	35631	337083
478	35698	336934
479	35766	336802
480	35832	336650
481	35902	336528
482	35975	336442
483	36052	336395
484	36138	336424
485	36216	336382
486	36288	336280
487	36356	336147
488	36433	336093
489	36500	335954
490	36568	335817
491	36650	335810
492	36735	335837
493	36810	335763
494	36872	335575
495	36951	335539
496	37021	335424
497	37106	335450
498	37183	335400
499	37248	335234
500	37318	335124
501	37402	335130
502	37471	335010
503	37550	334972
504	37632	334967
505	37709	334910
506	37781	334820
507	37842	334624
508	37918	334564
509	37999	334542
510	38088	334595
511	38160	334501
512	38236	334436
513	38314	334394
514	38388	334312
515	38459	334214
516	38538	334176
517	38607	334053
518	38677	333937
519	38747	333822
520	38819	333730
521	38901	333717
522	38971	333602
523	39036	333452
524	39106	333339
525	39184	333294
526	39267	333287
527	39337	333173
528	39414	333126
529	39490	333060
530	39564	332978
531	39635	332880
532	39703	332752
533	39788	332767
534	39866	332715
535	39939	332632
536	40004	332480
537	40079	332409
538	40164	332418
539	40244	332386
540	40315	332286
541	40402	332314
542	40466	332149
543	40542	332089
544	40611	331973
545	40678	331834
546	40763	331843
547	40843	331816
548	40915	331720
549	40986	331619
550	41051	331468
551	41123	331371
552	41203	331338
553	41281	331296
554	41368	331321
555	41439	331219
556	41525	331235
557	41597	331139
558	41673	331080
559	41745	330980
560	41813	330856
561	41884	330752
562	41971	330780
563	42040	330659
564	42119	330615
565	42204	330630
566	42277	330538
567	42356	330501
568	42424	330371
569	42499	330299
570	42567	330176
571	42635	330049
572	42718	330044
573	42792	329963
574	42866	329882
575	42947	329862
576	43011	329701
577	43095	329703
578	43164	329583
579	43229	329439
580	43304	329366
581	43383	329329
582	43452	329207
